Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
11.11.2025,14:54:56.058,111.470,147.913,139.132,4.057,250.0,250.0,274.326,73.743,15.361,206.656,136.176,84.442,51.734,83.414,72.002,15.316,56.685,15.648,0.000,0.000,1.250,0.750,76.0,
11.11.2025,14:54:57.057,31.266,37.292,29.617,3.175,250.0,250.0,152.983,32.127,14.304,90.714,65.132,40.389,24.743,39.898,15.754,1.166,14.588,14.588,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:54:58.055,48.938,99.536,90.977,3.852,250.0,250.0,258.035,202.964,13.312,335.258,214.321,132.892,81.429,131.298,203.413,54.195,149.218,714.299,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:54:59.060,107.392,120.728,112.050,3.950,250.0,250.0,337.444,155.422,12.499,316.140,201.957,125.235,76.722,123.725,235.595,64.935,170.660,226.754,0.000,0.000,2.500,0.000,76.0,
11.11.2025,14:55:0.054,104.673,116.170,107.535,3.969,250.0,250.0,336.024,152.525,12.608,340.932,217.305,134.746,82.559,133.117,216.667,57.354,159.313,170.647,0.000,0.000,1.125,0.000,76.0,
11.11.2025,14:55:1.059,46.219,119.177,110.401,4.005,250.0,250.0,339.323,174.438,13.011,328.911,210.118,130.290,79.828,128.709,197.306,52.835,144.471,458.898,0.000,0.000,0.000,0.375,76.0,
11.11.2025,14:55:2.057,46.219,119.177,110.401,4.005,250.0,250.0,341.853,140.891,13.429,325.109,208.076,129.023,79.053,127.465,200.798,53.505,147.293,125.156,0.000,0.000,2.250,1.375,76.0,
11.11.2025,14:55:3.056,42.141,114.744,105.999,4.020,250.0,250.0,276.206,98.892,13.608,226.205,147.153,91.247,55.906,90.148,94.738,20.691,74.047,175.174,0.000,0.000,0.000,1.000,76.0,
11.11.2025,14:55:4.070,21.750,146.644,137.765,4.088,250.0,250.0,146.628,118.250,13.809,242.395,157.453,97.635,59.818,96.449,249.210,69.158,180.052,16.520,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:55:5.089,99.236,120.185,111.435,4.033,250.0,250.0,324.595,136.258,13.701,340.150,217.512,134.873,82.639,133.244,211.496,56.144,155.352,17.474,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:55:6.092,23.110,126.110,117.316,4.014,250.0,250.0,340.390,167.406,13.214,336.075,214.665,133.100,81.565,131.495,233.407,62.238,171.169,297.136,0.000,0.000,0.500,1.375,76.0,
11.11.2025,14:55:7.085,23.110,126.110,117.316,4.014,250.0,250.0,341.137,145.621,12.754,339.835,216.731,134.389,82.342,132.771,259.637,71.461,188.176,18.111,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:55:8.095,63.892,113.533,104.804,4.003,250.0,250.0,340.379,141.400,12.780,338.820,216.117,134.009,82.108,132.392,239.861,66.533,173.328,18.052,0.000,0.000,1.375,1.125,76.0,
11.11.2025,14:55:9.091,91.080,127.768,119.094,3.991,250.0,250.0,339.663,186.382,13.260,257.324,166.251,103.087,63.164,101.842,103.091,23.119,79.972,952.706,0.000,0.000,0.000,1.250,76.0,
11.11.2025,14:55:10.086,108.752,127.237,118.481,4.001,250.0,250.0,246.320,32.677,13.592,92.575,65.850,40.827,25.023,40.336,16.601,1.236,15.365,15.365,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:55:11.098,27.188,111.967,103.378,3.824,250.0,250.0,169.911,172.512,13.569,342.087,218.555,135.519,83.036,133.891,218.708,59.097,159.611,361.043,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:55:12.087,108.752,91.213,82.917,3.670,250.0,250.0,341.313,173.865,13.147,316.617,202.622,125.639,76.983,124.118,196.702,52.159,144.543,486.122,0.000,0.000,0.625,0.000,76.0,
11.11.2025,14:55:13.093,33.985,113.082,104.357,4.010,250.0,250.0,334.700,135.960,12.503,335.235,213.685,132.502,81.183,130.910,198.441,52.959,145.482,56.698,0.000,0.000,1.125,2.250,76.0,
11.11.2025,14:55:14.086,104.673,125.068,116.320,3.977,250.0,250.0,342.143,125.357,12.674,313.099,200.244,124.170,76.074,122.672,193.476,51.826,141.652,17.687,0.000,0.000,0.000,1.000,76.0,
11.11.2025,14:55:15.094,42.141,119.117,110.446,3.997,250.0,250.0,339.296,132.935,13.020,324.515,207.423,128.615,78.808,127.070,216.054,57.103,158.951,17.792,0.000,0.000,0.000,2.625,76.0,
11.11.2025,14:55:16.108,23.110,115.101,106.405,3.962,250.0,250.0,320.947,92.178,13.274,202.738,132.593,82.218,50.375,81.226,171.284,41.184,130.100,16.791,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:55:17.100,107.392,140.338,131.539,4.047,250.0,250.0,183.809,32.481,13.964,91.663,65.511,40.629,24.882,40.138,16.413,1.213,15.200,15.200,0.000,0.000,0.000,0.750,76.0,
11.11.2025,14:55:18.110,23.110,53.823,45.807,3.378,250.0,250.0,184.167,206.151,14.950,325.255,209.113,129.663,79.450,128.106,242.410,65.732,176.678,690.151,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:55:19.116,35.344,93.397,84.938,3.801,250.0,250.0,334.585,127.550,15.511,302.009,195.161,121.012,74.149,119.549,197.478,52.356,145.123,53.151,0.000,0.000,0.125,0.000,76.0,
11.11.2025,14:55:20.138,36.704,113.871,105.176,3.980,250.0,250.0,338.643,145.998,14.189,341.577,218.731,135.631,83.100,133.989,257.124,70.773,186.351,18.511,0.000,0.000,1.125,0.000,76.0,
11.11.2025,14:55:21.140,40.782,125.963,117.191,4.020,250.0,250.0,346.520,137.223,13.069,327.708,209.512,129.914,79.598,128.343,232.822,63.145,169.677,18.440,0.000,0.000,0.500,0.125,76.0,
11.11.2025,14:55:22.136,67.970,121.494,112.740,4.014,250.0,250.0,322.119,58.780,12.480,191.469,125.532,77.843,47.689,76.896,19.684,1.456,18.228,16.520,0.000,0.000,0.000,2.125,76.0,
11.11.2025,14:55:23.138,106.033,93.461,84.966,3.831,250.0,250.0,280.901,72.191,12.763,179.143,117.897,73.104,44.793,72.231,102.630,22.863,79.767,16.721,0.000,0.000,0.000,0.375,76.0,
