Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
6.11.2025,18:17:27.826,32.625,26.385,19.483,2.976,250.0,250.0,69.860,20.305,8.763,64.181,45.062,27.940,17.122,27.610,4.271,0.441,3.830,3.830,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:28.839,29.907,28.744,21.813,3.015,250.0,250.0,66.558,10.854,8.703,27.683,22.573,14.004,8.569,13.833,4.561,0.510,4.051,4.051,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:29.834,29.907,28.744,21.813,3.015,250.0,250.0,66.297,20.418,8.715,64.647,45.311,28.094,17.217,27.764,4.293,0.446,3.847,3.847,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:30.832,28.547,26.034,19.117,2.972,250.0,250.0,66.780,20.275,8.738,64.087,44.986,27.901,17.085,27.560,4.271,0.441,3.830,3.847,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:31.826,23.110,25.469,18.571,2.991,250.0,250.0,67.074,24.718,8.701,36.464,27.965,17.336,10.629,17.128,4.533,0.601,3.932,119.891,0.000,0.000,0.000,1.125,10.0,
6.11.2025,18:17:32.837,17.672,25.121,18.151,3.047,250.0,250.0,66.800,20.436,8.739,64.649,45.330,28.103,17.227,27.761,4.341,0.502,3.839,3.873,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:33.838,19.032,26.183,19.260,2.990,250.0,250.0,66.681,20.537,8.715,35.263,27.231,16.883,10.348,16.675,4.511,0.587,3.924,81.235,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:34.836,16.313,25.163,18.259,2.993,250.0,250.0,67.041,20.325,8.738,64.253,45.081,27.953,17.128,27.612,4.298,0.443,3.855,3.890,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:35.839,19.032,26.556,19.650,3.010,250.0,250.0,52.033,10.672,8.702,27.314,22.347,13.854,8.493,13.682,4.259,0.437,3.822,3.813,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:36.837,16.313,26.593,19.737,2.981,250.0,250.0,57.240,19.509,8.732,61.155,43.173,26.770,16.403,26.440,4.280,0.442,3.838,3.855,0.000,0.000,0.000,0.000,10.0,
