Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
16.11.2025,17:55:5.840,112.830,168.759,159.303,4.455,0.000,250.0,250.0,286.258,99.459,14.083,349.175,223.769,138.752,85.017,137.072,15.971,1.195,14.776,14.776,0.000,0.375,1.250,39.0,
16.11.2025,17:55:6.845,114.189,169.605,160.043,4.480,0.000,250.0,250.0,290.598,68.538,14.559,228.600,149.605,92.770,56.835,91.656,17.554,1.305,16.249,16.249,0.000,2.500,1.500,39.0,
16.11.2025,17:55:7.844,115.549,182.633,173.066,4.547,0.000,250.0,250.0,291.419,91.658,15.065,319.041,205.805,127.616,78.189,126.080,15.311,1.147,14.164,14.164,0.000,2.500,2.500,39.0,
16.11.2025,17:55:8.837,110.111,164.195,154.238,4.705,0.000,250.0,250.0,214.437,32.253,13.660,90.870,64.843,40.205,24.638,39.714,16.976,2.330,14.646,14.646,0.000,0.250,2.375,39.0,
16.11.2025,17:55:9.842,112.830,168.125,158.104,4.811,0.000,250.0,250.0,209.423,37.955,12.427,121.494,82.405,51.102,31.303,50.482,10.361,0.751,9.610,9.610,0.000,1.750,2.375,39.0,
16.11.2025,17:55:10.850,114.189,162.592,152.975,4.526,0.000,250.0,250.0,64.278,84.926,11.840,104.443,71.849,44.553,27.296,44.016,225.068,95.299,129.769,95.125,0.000,1.250,1.250,39.0,
16.11.2025,17:55:11.849,108.752,182.409,172.684,4.630,0.000,250.0,250.0,446.406,267.198,12.645,462.324,293.187,181.801,111.386,179.603,407.478,139.568,267.910,616.081,0.000,1.000,2.375,39.0,
16.11.2025,17:55:12.835,114.189,179.869,170.144,4.604,0.000,250.0,250.0,458.320,274.631,12.927,462.171,293.358,181.907,111.451,179.710,388.497,153.237,235.260,727.791,0.000,1.250,0.500,39.0,
16.11.2025,17:55:13.844,111.470,178.779,169.309,4.472,0.000,250.0,250.0,319.423,222.785,13.292,327.557,209.968,130.191,79.777,128.619,434.498,124.542,309.958,469.452,0.000,0.000,2.500,39.0,
16.11.2025,17:55:14.835,118.267,179.948,170.456,4.466,0.000,250.0,250.0,290.872,99.549,13.319,349.844,223.640,138.675,84.965,136.997,16.424,1.224,15.200,15.200,0.000,2.500,1.250,39.0,
